DATE,Demand (MW),Season,TMP,DEW,HUMIDITY,Hour Number,Weekday,Month,Public Holiday,Wind Speed,Rainfall/Snowfall,Demand_lag24,Demand_roll24,Predicted Demand
2024-01-27 09:00:00,812.3395067536809,1,5,1.11,76,9,6,1,0,1.5,0.0,903.8032577229105,837.4850798959936,812.3395067536809
2024-01-27 10:00:00,808.4630654389371,1,4,0.65,76,10,6,1,0,2.1,0.0,875.783257245956,834.726655961547,808.4630654389371
2024-01-27 11:00:00,779.557285548682,1,5,0.05,70,11,6,1,0,2.6,0.0,856.7535361953854,832.6270702764839,779.557285548682
2024-01-27 12:00:00,769.9239898654688,1,5,0.01,70,12,6,1,0,3.1,0.0,871.8648479040521,828.6136980001633,769.9239898654688
2024-01-27 13:00:00,761.3121495217026,1,3,-1.15,75,13,6,1,0,1.5,0.0,838.1367965553521,825.6479237962554,761.3121495217026
2024-01-27 14:00:00,760.9354544592695,1,5,-0.65,67,14,6,1,0,0.0,0.0,855.0417475497712,821.5727238819916,760.9354544592695
2024-01-27 15:00:00,753.2885223478494,1,5,-0.61,67,15,6,1,0,0.0,0.0,848.211240151146,817.7781245040838,753.2885223478494
2024-01-27 16:00:00,777.1080500360785,1,9,1.15,58,16,6,1,0,0.0,0.0,862.0345425900684,813.0500366674657,777.1080500360785
2024-01-27 17:00:00,791.1053148702412,1,10,0.05,50,17,6,1,0,2.1,0.0,861.1656429482335,809.3953587147633,791.1053148702412
2024-01-27 18:00:00,855.5320573075991,1,10,0.01,50,18,6,1,0,2.1,0.0,913.958221080249,804.0539280099805,855.5320573075991
2024-01-27 19:00:00,896.2512047160634,1,13,-1.15,38,19,6,1,0,1.5,0.0,958.5467297218387,799.5750292093612,896.2512047160634
2024-01-27 20:00:00,900.5729662754659,1,13,-1.15,37,20,6,1,0,1.5,0.0,966.6307706290253,796.5150480827107,900.5729662754659
2024-01-27 21:00:00,892.7148967055218,1,13,-1.11,37,21,6,1,0,1.5,0.0,955.9434688463157,794.1076349274565,892.7148967055218
2024-01-27 22:00:00,868.1223427883886,1,15,-2.25,30,22,6,1,0,0.0,0.0,912.7052562345064,793.2384888609788,868.1223427883886
2024-01-27 23:00:00,821.4471245559924,1,15,-2.25,30,23,6,1,0,0.0,0.0,882.4622873708283,792.6150130095683,821.4471245559924
2024-01-28 00:00:00,774.1063790746404,1,15,-2.21,30,0,7,1,0,0.0,0.0,814.909637852115,792.899251561911,774.1063790746404
2024-01-28 01:00:00,739.2259782542712,1,12,-2.85,35,1,7,1,0,0.0,0.0,750.4593137426401,793.9273848372152,739.2259782542712
